ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669877999139237284,1669877999349942860,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,210705576,0,0,0,0,0,1669877999349942860,1669877999349942860,1669877999349942860,1669877999349942860,1669877999349942860,1,4,-1,-1
1669877999155157804,1669877999525245791,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,370087987,0,0,0,0,0,1669877999525245791,1669877999525245791,1669877999525245791,1669877999525245791,1669877999525245791,1,4,-1,-1
1669877999350115747,1669877999525370818,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,175255071,0,0,0,0,0,1669877999525370818,1669877999525370818,1669877999525370818,1669877999525370818,1669877999525370818,0,0,0,0
1669877999525348230,1669877999702426128,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,177077898,0,0,0,0,0,1669877999702426128,1669877999702426128,1669877999702426128,1669877999702426128,1669877999702426128,1,4,-1,-1
1669877999525386805,1669877999702707665,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,177320860,0,0,0,0,0,1669877999702707665,1669877999702707665,1669877999702707665,1669877999702707665,1669877999702707665,0,0,0,0
1669877999702519822,1669877999881974410,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,179454588,0,0,0,0,0,1669877999881974410,1669877999881974410,1669877999881974410,1669877999881974410,1669877999881974410,1,4,-1,-1
1669877999702723012,1669877999882112734,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,179389722,0,0,0,0,0,1669877999882112734,1669877999882112734,1669877999882112734,1669877999882112734,1669877999882112734,0,0,0,0
1669877999882129231,1669877999882141242,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,12011,0,0,0,0,0,1669877999882141242,1669877999882141242,1669877999882141242,1669877999882141242,1669877999882141242,0,0,0,0
1669877999882085446,1669878000056437786,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,174352340,0,0,0,0,0,1669878000056437786,1669878000056437786,1669878000056437786,1669878000056437786,1669878000056437786,1,4,-1,-1
1669877999925685075,1669878000056727766,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,131042691,0,0,0,0,0,1669878000056727766,1669878000056727766,1669878000056727766,1669878000056727766,1669878000056727766,0,0,0,0
1669878000056540829,1669878000233840157,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,177299328,0,0,0,0,0,1669878000233840157,1669878000233840157,1669878000233840157,1669878000233840157,1669878000233840157,1,4,-1,-1
1669878000056742353,1669878000233967549,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,177225196,0,0,0,0,0,1669878000233967549,1669878000233967549,1669878000233967549,1669878000233967549,1669878000233967549,0,0,0,0
1669878000233949815,1669878000405390875,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,171441060,0,0,0,0,0,1669878000405390875,1669878000405390875,1669878000405390875,1669878000405390875,1669878000405390875,1,4,-1,-1
1669878000233983780,1669878000405738712,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,171754932,0,0,0,0,0,1669878000405738712,1669878000405738712,1669878000405738712,1669878000405738712,1669878000405738712,0,0,0,0
1669878000405530242,1669878000469284157,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,63753915,0,0,0,0,0,1669878000469284157,1669878000469284157,1669878000469284157,1669878000469284157,1669878000469284157,1,4,-1,-1
1669878000405765088,1669878000469418581,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,63653493,0,0,0,0,0,1669878000469418581,1669878000469418581,1669878000469418581,1669878000469418581,1669878000469418581,0,0,0,0
1669878000469385069,1669878000469458847,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,73778,0,0,0,0,0,1669878000469458847,1669878000469458847,1669878000469458847,1669878000469458847,1669878000469458847,0,0,0,0
1669878000469433055,1669878000469478415,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45360,0,0,0,0,0,1669878000469478415,1669878000469478415,1669878000469478415,1669878000469478415,1669878000469478415,0,0,0,0
1669878000479494828,1669878000479577631,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,82803,0,0,0,0,0,1669878000479577631,1669878000479577631,1669878000479577631,1669878000479577631,1669878000479577631,0,0,0,0
1669878000481252615,1669878000481277633,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25018,0,0,0,0,0,1669878000481277633,1669878000481277633,1669878000481277633,1669878000481277633,1669878000481277633,0,0,0,0
1669878000536810337,1669878000536846502,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36165,0,0,0,0,0,1669878000536846502,1669878000536846502,1669878000536846502,1669878000536846502,1669878000536846502,0,0,0,0
1669878000547079022,1669878000592759034,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,45680012,0,0,0,0,0,1669878000592759034,1669878000592759034,1669878000592759034,1669878000592759034,1669878000592759034,1,4,-1,-1
1669878000624082359,1669878000624151956,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,69597,0,0,0,0,0,1669878000624151956,1669878000624151956,1669878000624151956,1669878000624151956,1669878000624151956,0,0,0,0
1669878000625630723,1669878000625657063,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,26340,0,0,0,0,0,1669878000625657063,1669878000625657063,1669878000625657063,1669878000625657063,1669878000625657063,0,0,0,0
1669878000680490232,1669878000680531985,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41753,0,0,0,0,0,1669878000680531985,1669878000680531985,1669878000680531985,1669878000680531985,1669878000680531985,0,0,0,0
1669878000684427282,1669878000749481683,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,65054401,0,0,0,0,0,1669878000749481683,1669878000749481683,1669878000749481683,1669878000749481683,1669878000749481683,1,4,-1,-1
1669878000741442172,1669878000749806721,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,8364549,0,0,0,0,0,1669878000749806721,1669878000749806721,1669878000749806721,1669878000749806721,1669878000749806721,0,0,0,0
1669878000749599031,1669878000749823560,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,224529,0,0,0,0,0,1669878000749823560,1669878000749823560,1669878000749823560,1669878000749823560,1669878000749823560,0,0,0,0
1669878000808833671,1669878000808869870,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,36199,0,0,0,0,0,1669878000808869870,1669878000808869870,1669878000808869870,1669878000808869870,1669878000808869870,0,0,0,0
1669878000810460555,1669878000860332846,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,49872291,0,0,0,0,0,1669878000860332846,1669878000860332846,1669878000860332846,1669878000860332846,1669878000860332846,1,4,-1,-1
1669878000853505582,1669878000860458913,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,6953331,0,0,0,0,0,1669878000860458913,1669878000860458913,1669878000860458913,1669878000860458913,1669878000860458913,0,0,0,0
1669878000860433938,1669878000860472677,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,38739,0,0,0,0,0,1669878000860472677,1669878000860472677,1669878000860472677,1669878000860472677,1669878000860472677,0,0,0,0
1669878000899639229,1669878000899681564,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42335,0,0,0,0,0,1669878000899681564,1669878000899681564,1669878000899681564,1669878000899681564,1669878000899681564,0,0,0,0
1669878000903484478,1669878000903514543,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30065,0,0,0,0,0,1669878000903514543,1669878000903514543,1669878000903514543,1669878000903514543,1669878000903514543,0,0,0,0
1669878000966619452,1669878000990188888,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,23569436,0,0,0,0,0,1669878000990188888,1669878000990188888,1669878000990188888,1669878000990188888,1669878000990188888,1,4,-1,-1
1669878000972139058,1669878000990325385,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,18186327,0,0,0,0,0,1669878000990325385,1669878000990325385,1669878000990325385,1669878000990325385,1669878000990325385,0,0,0,0
1669878000990294878,1669878000990345174,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,50296,0,0,0,0,0,1669878000990345174,1669878000990345174,1669878000990345174,1669878000990345174,1669878000990345174,0,0,0,0
1669878000999605480,1669878000999633786,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28306,0,0,0,0,0,1669878000999633786,1669878000999633786,1669878000999633786,1669878000999633786,1669878000999633786,0,0,0,0
1669878001064042099,1669878001064285051,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,242952,0,0,0,0,0,1669878001064285051,1669878001064285051,1669878001064285051,1669878001064285051,1669878001064285051,0,0,0,0
