ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669444032905605134,1669444032905633231,Timing,RTKLocalizationComponent::Proc,28097,0,0,0,0,0,1669444032905633231,1669444032905633231,1669444032905633231,1669444032905633231,1669444032905633231,0,0,0,0
1669444032985514920,1669444032985547995,Timing,RTKLocalizationComponent::Proc,33075,0,0,0,0,0,1669444032985547995,1669444032985547995,1669444032985547995,1669444032985547995,1669444032985547995,0,0,0,0
1669444033065475991,1669444033065507644,Timing,RTKLocalizationComponent::Proc,31653,0,0,0,0,0,1669444033065507644,1669444033065507644,1669444033065507644,1669444033065507644,1669444033065507644,0,0,0,0
1669444033145473238,1669444033145513896,Timing,RTKLocalizationComponent::Proc,40658,0,0,0,0,0,1669444033145513896,1669444033145513896,1669444033145513896,1669444033145513896,1669444033145513896,0,0,0,0
1669444033231211429,1669444033231232748,Timing,RTKLocalizationComponent::Proc,21319,0,0,0,0,0,1669444033231232748,1669444033231232748,1669444033231232748,1669444033231232748,1669444033231232748,0,0,0,0
1669444033307473435,1669444033307525344,Timing,RTKLocalizationComponent::Proc,51909,0,0,0,0,0,1669444033307525344,1669444033307525344,1669444033307525344,1669444033307525344,1669444033307525344,0,0,0,0
1669444033387488020,1669444033387516355,Timing,RTKLocalizationComponent::Proc,28335,0,0,0,0,0,1669444033387516355,1669444033387516355,1669444033387516355,1669444033387516355,1669444033387516355,0,0,0,0
1669444033467552400,1669444033467579565,Timing,RTKLocalizationComponent::Proc,27165,0,0,0,0,0,1669444033467579565,1669444033467579565,1669444033467579565,1669444033467579565,1669444033467579565,0,0,0,0
1669444033556265559,1669444033556300831,Timing,RTKLocalizationComponent::Proc,35272,0,0,0,0,0,1669444033556300831,1669444033556300831,1669444033556300831,1669444033556300831,1669444033556300831,0,0,0,0
1669444033635612835,1669444033635647611,Timing,RTKLocalizationComponent::Proc,34776,0,0,0,0,0,1669444033635647611,1669444033635647611,1669444033635647611,1669444033635647611,1669444033635647611,0,0,0,0
1669444033712644087,1669444033712674860,Timing,RTKLocalizationComponent::Proc,30773,0,0,0,0,0,1669444033712674860,1669444033712674860,1669444033712674860,1669444033712674860,1669444033712674860,0,0,0,0
1669444033792598537,1669444033792638396,Timing,RTKLocalizationComponent::Proc,39859,0,0,0,0,0,1669444033792638396,1669444033792638396,1669444033792638396,1669444033792638396,1669444033792638396,0,0,0,0
1669444033872516213,1669444033872706666,Timing,RTKLocalizationComponent::Proc,190453,0,0,0,0,0,1669444033872706666,1669444033872706666,1669444033872706666,1669444033872706666,1669444033872706666,1,-1,-1,-1
1669444033957036759,1669444033957097003,Timing,RTKLocalizationComponent::Proc,60244,0,0,0,0,0,1669444033957097003,1669444033957097003,1669444033957097003,1669444033957097003,1669444033957097003,1,-1,-1,-1
1669444034039169576,1669444034039226323,Timing,RTKLocalizationComponent::Proc,56747,0,0,0,0,0,1669444034039226323,1669444034039226323,1669444034039226323,1669444034039226323,1669444034039226323,1,-1,-1,-1
1669444034116237379,1669444034116344100,Timing,RTKLocalizationComponent::Proc,106721,0,0,0,0,0,1669444034116344100,1669444034116344100,1669444034116344100,1669444034116344100,1669444034116344100,1,-1,-1,-1
1669444034196064252,1669444034196122031,Timing,RTKLocalizationComponent::Proc,57779,0,0,0,0,0,1669444034196122031,1669444034196122031,1669444034196122031,1669444034196122031,1669444034196122031,1,-1,-1,-1
1669444034276444767,1669444034276496778,Timing,RTKLocalizationComponent::Proc,52011,0,0,0,0,0,1669444034276496778,1669444034276496778,1669444034276496778,1669444034276496778,1669444034276496778,1,-1,-1,-1
1669444034356083272,1669444034356151065,Timing,RTKLocalizationComponent::Proc,67793,0,0,0,0,0,1669444034356151065,1669444034356151065,1669444034356151065,1669444034356151065,1669444034356151065,1,-1,-1,-1
1669444034435987517,1669444034436056659,Timing,RTKLocalizationComponent::Proc,69142,0,0,0,0,0,1669444034436056659,1669444034436056659,1669444034436056659,1669444034436056659,1669444034436056659,1,-1,-1,-1
