timestamp,task,checkpoint,from_start,from_last
1669444059322263580,prediction,start,0,0
1669444059322424874,prediction,gpu_start,161294,161294
1669444059322843406,prediction,gpu_end,579826,418532
1669444059322894414,prediction,end,630834,51008
1669444059394481256,prediction,start,0,0
1669444059395413967,prediction,gpu_start,932711,932711
1669444059395421691,prediction,gpu_end,940435,7724
1669444059395434449,prediction,end,953193,12758
1669444059479511380,prediction,start,0,0
1669444059485933089,prediction,gpu_start,6421709,6421709
1669444059485967163,prediction,gpu_end,6455783,34074
1669444059486019280,prediction,end,6507900,52117
1669444059627949048,prediction,start,0,0
1669444059629190182,prediction,gpu_start,1241134,1241134
1669444059629207722,prediction,gpu_end,1258674,17540
1669444059629272112,prediction,end,1323064,64390
1669444059699264457,prediction,start,0,0
1669444059700575954,prediction,gpu_start,1311497,1311497
1669444059700592978,prediction,gpu_end,1328521,17024
1669444059700642635,prediction,end,1378178,49657
1669444059773154114,prediction,start,0,0
1669444059774728843,prediction,gpu_start,1574729,1574729
1669444059808545238,prediction,gpu_end,35391124,33816395
1669444059808905658,prediction,end,35751544,360420
1669444059846852883,prediction,start,0,0
1669444059848368269,prediction,gpu_start,1515386,1515386
1669444061894134254,prediction,gpu_end,2047281371,2045765985
1669444061894557447,prediction,end,2047704564,423193
1669444061894728855,prediction,start,0,0
1669444061897670505,prediction,gpu_start,2941650,2941650
1669444061897695697,prediction,gpu_end,2966842,25192
1669444061897796150,prediction,end,3067295,100453
1669444061945085495,prediction,start,0,0
1669444061947516436,prediction,gpu_start,2430941,2430941
1669444061947550860,prediction,gpu_end,2465365,34424
1669444061947621432,prediction,end,2535937,70572
1669444062065069284,prediction,start,0,0
1669444062066403006,prediction,gpu_start,1333722,1333722
1669444062066428142,prediction,gpu_end,1358858,25136
1669444062066482369,prediction,end,1413085,54227
1669444062274590492,prediction,start,0,0
1669444062277611813,prediction,gpu_start,3021321,3021321
1669444062277692539,prediction,gpu_end,3102047,80726
1669444062278450713,prediction,end,3860221,758174
1669444062333733932,prediction,start,0,0
1669444062335032157,prediction,gpu_start,1298225,1298225
1669444062335041696,prediction,gpu_end,1307764,9539
1669444062335059832,prediction,end,1325900,18136
1669444062467634316,prediction,start,0,0
1669444062468868395,prediction,gpu_start,1234079,1234079
1669444062468878275,prediction,gpu_end,1243959,9880
1669444062468895161,prediction,end,1260845,16886
1669444062542730454,prediction,start,0,0
1669444062543978633,prediction,gpu_start,1248179,1248179
1669444062543991785,prediction,gpu_end,1261331,13152
1669444062544011356,prediction,end,1280902,19571
1669444062692405323,prediction,start,0,0
1669444062693587120,prediction,gpu_start,1181797,1181797
1669444062693596442,prediction,gpu_end,1191119,9322
1669444062693613804,prediction,end,1208481,17362
1669444062759784531,prediction,start,0,0
1669444062760991220,prediction,gpu_start,1206689,1206689
1669444062761000131,prediction,gpu_end,1215600,8911
1669444062761014669,prediction,end,1230138,14538
1669444062895417365,prediction,start,0,0
1669444062896701954,prediction,gpu_start,1284589,1284589
1669444062896711391,prediction,gpu_end,1294026,9437
1669444062896772813,prediction,end,1355448,61422
1669444062975593648,prediction,start,0,0
1669444062977270584,prediction,gpu_start,1676936,1676936
1669444062977306885,prediction,gpu_end,1713237,36301
1669444062977387317,prediction,end,1793669,80432
1669444063011456086,prediction,start,0,0
1669444063012886843,prediction,gpu_start,1430757,1430757
1669444063012908838,prediction,gpu_end,1452752,21995
